Number of days,Seasons,state,Total Population,Number of deaths,deathConfirmed,deathIncrease,deathProbable,Number of Hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,Number of Infected People,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
407,WINTER,WA,-31083520,4857,,35,,19110,19110,565,77,,121,,0,,,4802711,,55,334962,317223,1168,0,,,,,317161,0,5120226,46148,5120226,46148,,,,,,0,,0
408,WINTER,WA,-31424094,4881,,24,,19160,19160,544,50,,98,,0,,,4827423,,58,335693,317805,731,0,,,,,317740,0,5145517,25291,5145517,25291,,,,,,0,,0
409,WINTER,WA,-31765571,4912,,31,,19211,19211,534,51,,152,,0,,,4848716,,60,336565,318510,872,0,,,,,318442,0,5167513,21996,5167513,21996,,,,,,0,,0
410,WINTER,WA,-32108166,4942,,30,,19224,19224,548,13,,168,,0,,,4873457,,62,337653,319498,1088,0,,,,,319438,0,5193250,25737,5193250,25737,,,,,,0,,0
411,WINTER,WA,-32451944,4956,,14,,19275,19275,498,51,,135,,0,,,4892820,,59,338822,320317,1169,0,,,,,320250,0,5213424,20174,5213424,20174,,,,,,0,,0
412,WINTER,WA,-32796673,4956,,0,,19319,19319,498,44,,135,,0,,,4913062,,58,339773,321079,951,0,,,,,321014,0,5234432,21008,5234432,21008,,,,,,0,,0
413,SPRING,WA,-33141402,4956,,0,,19319,19319,498,0,,135,,0,,,4913062,,58,339773,321079,0,0,,,,,321014,0,5234432,0,5234432,0,,,,,,0,,0
414,SPRING,WA,-33487079,4969,,13,,19372,19372,473,53,,125,,0,,,4958153,,61,340708,321881,935,0,,,,,321822,0,5280330,45898,5280330,45898,,,,,,0,,0
415,SPRING,WA,-33833508,4988,,19,,19433,19433,467,61,,131,,0,,,4978720,,64,341441,322487,733,0,,,,,322430,0,5301508,21178,5301508,21178,,,,,,0,,0
416,SPRING,WA,-34180756,5012,,24,,19466,19466,461,33,,121,,0,,,4996968,,61,342236,323123,795,0,,,,,323057,0,5320381,18873,5320381,18873,,,,,,0,,0
417,SPRING,WA,-34528878,5032,,20,,19500,19500,413,34,,108,,0,,,5020273,,57,343090,323839,854,0,,,,,323771,0,5344402,24021,5344402,24021,,,,,,0,,0
418,SPRING,WA,-34877787,5041,,9,,19556,19556,431,56,,98,,0,,,5044931,,30,343868,324469,778,0,,,,,324428,0,5369716,25314,5369716,25314,,,,,,0,,0
419,SPRING,WA,-35227360,5041,,0,,19599,19599,431,43,,98,,0,,,5068404,,43,344532,325053,664,0,,,,,324994,0,5393756,24040,5393756,24040,,,,,,0,,0
